1403636588963555584,0.00248,-0.06888,-0.00838,-0.02271,0.91233,-0.00644,0.40879,-0.09386,0.40154,0.03179,
1403636589063555584,-0.00806,-0.02624,-0.00399,-0.02588,0.91051,-0.00114,0.41267,-0.10588,0.43967,0.05119,
1403636589163555328,-0.01809,0.01977,0.00222,-0.02849,0.90831,0.00460,0.41731,-0.09868,0.47023,0.06219,
1403636589263555584,-0.02882,0.06883,0.00816,-0.03077,0.90772,0.00866,0.41836,-0.10391,0.49373,0.04479,
1403636589363555328,-0.03953,0.12078,0.01080,-0.03285,0.90906,0.01443,0.41512,-0.10031,0.50881,0.01376,
1403636589463555584,-0.04946,0.16893,0.01148,-0.03358,0.90987,0.02008,0.41304,-0.09759,0.50141,0.00557,
1403636589563555584,-0.06063,0.21963,0.01049,-0.03580,0.90883,0.02258,0.41502,-0.10473,0.50300,-0.00941,
1403636589663555328,-0.06956,0.25912,0.00879,-0.03781,0.90763,0.02632,0.41723,-0.10106,0.47837,-0.01442,
1403636589763555584,-0.07892,0.30163,0.00671,-0.04169,0.90735,0.03016,0.41722,-0.09429,0.45077,-0.03644,
1403636589863555328,-0.08804,0.34141,0.00312,-0.04702,0.90923,0.03649,0.41202,-0.07867,0.38169,-0.04460,
1403636589963555584,-0.09590,0.37438,-0.00133,-0.05422,0.91088,0.04225,0.40690,-0.06477,0.32203,-0.04275,
1403636590063555584,-0.10324,0.39918,-0.00322,-0.06087,0.90915,0.04718,0.40928,-0.04677,0.22793,0.00140,
1403636590163555328,-0.10822,0.41470,-0.00235,-0.06644,0.90588,0.05075,0.41520,-0.02870,0.11019,0.01523,
1403636590263555584,-0.11143,0.41864,-0.00015,-0.06734,0.90456,0.05293,0.41766,-0.01946,-0.02214,0.01976,
1403636590363555328,-0.11231,0.40958,0.00237,-0.06417,0.90560,0.05281,0.41590,-0.00444,-0.14705,0.02301,
1403636590463555584,-0.11201,0.38785,0.00512,-0.05876,0.90618,0.05016,0.41578,0.01364,-0.26402,0.03789,
1403636590563555584,-0.11000,0.35699,0.00907,-0.05266,0.90535,0.04750,0.41869,0.03064,-0.34266,0.04372,
1403636590663555328,-0.10639,0.31929,0.01243,-0.04841,0.90464,0.04419,0.42111,0.05013,-0.39441,0.02342,
1403636590763555584,-0.10062,0.27726,0.01333,-0.04511,0.90575,0.03962,0.41954,0.07121,-0.42648,-0.00632,
1403636590863555328,-0.09259,0.23284,0.01102,-0.04572,0.90840,0.03528,0.41410,0.08818,-0.45862,-0.02658,
1403636590963555584,-0.08299,0.18589,0.00793,-0.04425,0.91022,0.03247,0.41047,0.09792,-0.47276,-0.03128,
1403636591063555584,-0.07243,0.13956,0.00488,-0.04574,0.90991,0.03200,0.41104,0.10840,-0.44900,-0.02712,
1403636591163555328,-0.06168,0.09626,0.00266,-0.04793,0.90966,0.03029,0.41146,0.10700,-0.41653,-0.02152,
1403636591263555584,-0.05095,0.05688,-0.00086,-0.04791,0.91064,0.02788,0.40947,0.09704,-0.36726,-0.04535,
